pub_date2	chains	tcr_count	epi_count	ref_count	mhc_count
1995	paired	4	1	1	1
1995	TRA	0	0	0	0
1995	TRB	24	1	1	1
1996	paired	5	2	2	2
1996	TRA	0	0	0	0
1996	TRB	24	1	1	1
1997	paired	20	4	3	3
1997	TRA	0	0	0	0
1997	TRB	25	2	2	2
1998	paired	24	6	6	6
1998	TRA	9	1	1	1
1998	TRB	69	8	3	3
1999	paired	30	13	9	11
1999	TRA	9	1	1	1
1999	TRB	86	11	4	5
2000	paired	74	17	13	12
2000	TRA	27	2	3	3
2000	TRB	139	16	7	6
2002	paired	138	20	17	13
2002	TRA	53	4	6	4
2002	TRB	307	19	13	8
2003	paired	139	21	20	14
2003	TRA	53	4	6	4
2003	TRB	307	19	13	8
2004	paired	143	25	21	15
2004	TRA	53	4	6	4
2004	TRB	308	23	14	9
2005	paired	198	40	29	20
2005	TRA	67	6	8	5
2005	TRB	371	25	16	11
2006	paired	204	43	33	21
2006	TRA	99	8	10	8
2006	TRB	485	28	19	15
2007	paired	217	48	40	23
2007	TRA	129	10	12	9
2007	TRB	818	35	24	20
2008	paired	219	49	42	23
2008	TRA	133	11	13	9
2008	TRB	1153	37	28	20
2009	paired	226	54	50	26
2009	TRA	133	11	13	9
2009	TRB	1159	40	29	20
2010	paired	280	56	56	27
2010	TRA	133	11	13	9
2010	TRB	1185	43	31	20
2011	paired	285	62	62	29
2011	TRA	147	13	14	10
2011	TRB	1983	55	37	27
2012	paired	290	66	67	31
2012	TRA	147	13	14	10
2012	TRB	2343	67	43	28
2013	paired	309	77	72	33
2013	TRA	147	13	14	10
2013	TRB	2780	72	47	29
2014	paired	336	88	81	36
2014	TRA	170	14	16	11
2014	TRB	2957	74	51	31
2015	paired	343	92	85	38
2015	TRA	639	16	18	11
2015	TRB	4196	87	58	31
2016	paired	531	95	88	38
2016	TRA	789	20	21	16
2016	TRB	4565	91	61	36
2017	paired	3517	106	96	40
2017	TRA	5333	25	28	21
2017	TRB	13955	105	72	43
2018	paired	3736	108	100	41
2018	TRA	5441	26	31	22
2018	TRB	14315	107	75	44
2019	paired	22350	136	101	43
2019	TRA	5457	26	32	22
2019	TRB	14404	108	76	44
